longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.29,37.81,46.0,1.0,1.0,582.0,277.0,910.75,175400.0,NEAR BAY
-122.29,37.81,49.0,1.0,1.0,560.0,152.0,2187.5,135000.0,NEAR BAY
-122.29,37.81,46.0,1.0,1.0,18.0,7.0,624.875,120000.0,NEAR BAY
-122.29,37.81,20.0,1.0,1.0,290.0,133.0,3103.75,260000.0,NEAR BAY
-122.28,37.81,17.0,1.0,1.0,762.0,439.0,1155.125,340000.0,NEAR BAY
-122.28,37.81,36.0,1.0,1.0,1236.0,509.0,3058.0,189200.0,NEAR BAY
-122.28,37.81,19.0,1.0,1.0,721.0,207.0,1388.875,201600.0,NEAR BAY
-122.29,37.81,23.0,1.0,1.0,1054.0,325.0,1003.25,210000.0,NEAR BAY
-122.28,37.8,38.0,1.0,1.0,344.0,155.0,2514.25,247600.0,NEAR BAY
-122.28,37.81,17.0,1.0,1.0,609.0,289.0,1875.0,310000.0,NEAR BAY
-122.27,37.81,52.0,1.0,1.0,183.0,56.0,1458.375,210000.0,NEAR BAY
-122.28,37.81,52.0,1.0,1.0,200.0,87.0,1901.0,210000.0,NEAR BAY
-122.28,37.81,52.0,1.0,1.0,346.0,155.0,1009.375,260000.0,NEAR BAY
-122.28,37.81,35.0,1.0,1.0,467.0,169.0,2261.0,222600.0,NEAR BAY
-122.28,37.81,52.0,1.0,1.0,377.0,115.0,3010.375,181400.0,NEAR BAY
-122.27,37.81,40.0,1.0,1.0,582.0,380.0,1221.25,222600.0,NEAR BAY
-122.27,37.81,10.0,1.0,1.0,546.0,330.0,950.0,310000.0,NEAR BAY
-122.27,37.8,10.0,1.0,1.0,125.0,39.0,1215.25,260000.0,NEAR BAY
-122.27,37.8,52.0,1.0,1.0,396.0,85.0,1554.25,985002.0,NEAR BAY
-122.27,37.8,16.0,1.0,1.0,800.0,362.0,2617.25,310000.0,NEAR BAY
-122.28,37.8,52.0,1.0,1.0,904.0,88.0,1083.5,260000.0,NEAR BAY
-122.28,37.8,52.0,1.0,1.0,191.0,34.0,937.5,310000.0,NEAR BAY
-122.27,37.79,27.0,1.0,1.0,718.0,302.0,3294.2500000000005,360000.0,NEAR BAY
-122.27,37.8,39.0,1.0,1.0,1327.0,467.0,2309.625,343400.0,NEAR BAY
-122.26,37.8,36.0,1.0,1.0,3469.0,2323.0,2512.0,245000.0,NEAR BAY
-122.26,37.82,31.0,1.0,1.0,2048.0,1180.0,3543.1249999999995,352600.0,NEAR BAY
-122.26,37.81,29.0,1.0,1.0,202.0,91.0,2507.7500000000005,235000.0,NEAR BAY
-122.26,37.82,22.0,1.0,1.0,2024.0,1250.0,1523.125,325000.0,NEAR BAY
-122.26,37.82,37.0,1.0,1.0,1838.0,980.0,3263.0,371200.0,NEAR BAY
-122.25,37.81,29.0,1.0,1.0,2304.0,1250.0,3114.0,500600.0,NEAR BAY
-122.25,37.81,28.0,1.0,1.0,2563.0,1497.0,4022.1249999999995,531800.0,NEAR BAY
-122.25,37.81,39.0,1.0,1.0,389.0,228.0,3906.25,460000.0,NEAR BAY
-122.25,37.81,52.0,1.0,1.0,895.0,613.0,3224.375,685000.0,NEAR BAY
-122.26,37.81,34.0,1.0,1.0,2689.0,1789.0,3550.7499999999995,656400.0,NEAR BAY
-122.24,37.82,52.0,1.0,1.0,674.0,244.0,6163.25,611800.0,NEAR BAY
-122.24,37.81,52.0,1.0,1.0,709.0,456.0,4090.875,522000.0,NEAR BAY
-122.25,37.81,52.0,1.0,1.0,686.0,422.0,3961.3749999999995,503800.0,NEAR BAY
-122.24,37.82,52.0,1.0,1.0,1444.0,718.0,4875.0,536400.0,NEAR BAY
-122.25,37.82,28.0,1.0,1.0,1520.0,802.0,4882.875,435000.0,NEAR BAY
-122.25,37.82,52.0,1.0,1.0,550.0,253.0,6364.625,510000.0,NEAR BAY
-122.25,37.82,32.0,1.0,1.0,1806.0,1022.0,3303.625,422000.0,NEAR BAY
-122.25,37.82,26.0,1.0,1.0,1749.0,1217.0,3779.125,495000.0,NEAR BAY
-122.25,37.83,52.0,1.0,1.0,939.0,519.0,3935.5,433200.0,NEAR BAY
-122.25,37.83,35.0,1.0,1.0,675.0,422.0,4340.25,471200.0,NEAR BAY
-122.25,37.83,52.0,1.0,1.0,534.0,291.0,3928.625,448200.0,NEAR BAY
-122.25,37.83,28.0,1.0,1.0,2558.0,1661.0,3029.25,422000.0,NEAR BAY
-122.25,37.83,52.0,1.0,1.0,1786.0,1037.0,3862.125,453200.0,NEAR BAY
-122.23,37.84,50.0,1.0,1.0,970.0,373.0,7324.5,640200.0,NEAR BAY
-122.23,37.84,47.0,1.0,1.0,1098.0,485.0,6608.500000000001,680200.0,NEAR BAY
-122.24,37.83,41.0,1.0,1.0,794.0,376.0,7445.000000000001,717200.0,NEAR BAY
-122.24,37.85,37.0,1.0,1.0,98.0,47.0,6205.375,655000.0,NEAR BAY
-122.23,37.85,52.0,1.0,1.0,1061.0,403.0,7929.25,732200.0,NEAR BAY
-122.24,37.84,52.0,1.0,1.0,1177.0,555.0,6471.625,764000.0,NEAR BAY
-122.24,37.85,52.0,1.0,1.0,901.0,367.0,9044.25,767200.0,NEAR BAY
-122.22,37.85,28.0,1.0,1.0,2031.0,956.0,6821.250000000001,659600.0,NEAR BAY
-122.22,37.84,50.0,1.0,1.0,1031.0,479.0,9375.0,575400.0,NEAR BAY
-122.21,37.84,44.0,1.0,1.0,1358.0,597.0,7524.25,569600.0,NEAR BAY
-122.21,37.83,40.0,1.0,1.0,1616.0,654.0,9443.0,808000.0,NEAR BAY
-122.2,37.84,30.0,1.0,1.0,844.0,343.0,7583.25,608000.0,NEAR BAY
-122.21,37.84,34.0,1.0,1.0,1140.0,496.0,8818.5,636800.0,NEAR BAY
-122.19,37.84,18.0,1.0,1.0,533.0,194.0,14502.124999999998,770200.0,NEAR BAY
-122.2,37.84,35.0,1.0,1.0,1072.0,443.0,9360.25,623600.0,NEAR BAY
-122.21,37.83,34.0,1.0,1.0,1627.0,766.0,8622.0,651600.0,NEAR BAY
-122.19,37.83,28.0,1.0,1.0,463.0,190.0,10256.125,655400.0,NEAR BAY
-122.2,37.83,26.0,1.0,1.0,542.0,211.0,10501.25,687400.0,NEAR BAY
-122.19,37.83,29.0,1.0,1.0,661.0,269.0,8567.25,722800.0,NEAR BAY
-122.19,37.82,32.0,1.0,1.0,635.0,263.0,10396.25,716800.0,NEAR BAY
-122.2,37.82,37.0,1.0,1.0,420.0,176.0,8771.875,718400.0,NEAR BAY
-122.2,37.82,39.0,1.0,1.0,1265.0,500.0,7912.749999999999,710600.0,NEAR BAY
-122.18,37.81,30.0,1.0,1.0,126.0,52.0,7953.0,951600.0,NEAR BAY
-122.21,37.82,52.0,1.0,1.0,813.0,350.0,8818.625,647800.0,NEAR BAY
-122.2,37.81,45.0,1.0,1.0,1067.0,426.0,8481.375,632000.0,NEAR BAY
-122.21,37.8,50.0,1.0,1.0,1260.0,552.0,3616.125,418400.0,NEAR BAY
-122.21,37.8,38.0,1.0,1.0,951.0,487.0,3851.5,451200.0,NEAR BAY
-122.21,37.81,52.0,1.0,1.0,510.0,224.0,6550.25,577800.0,NEAR BAY
-122.22,37.81,52.0,1.0,1.0,765.0,308.0,8152.125,532400.0,NEAR BAY
-122.22,37.8,52.0,1.0,1.0,1129.0,460.0,4079.0,440400.0,NEAR BAY
-122.22,37.8,52.0,1.0,1.0,1073.0,441.0,3787.25,384200.0,NEAR BAY
-122.22,37.8,52.0,1.0,1.0,1185.0,515.0,5678.5,464600.0,NEAR BAY
-122.22,37.81,52.0,1.0,1.0,756.0,340.0,5090.0,525200.0,NEAR BAY
-122.22,37.81,52.0,1.0,1.0,1034.0,521.0,6688.625,589200.0,NEAR BAY
-122.23,37.8,52.0,1.0,1.0,787.0,459.0,3950.375,524000.0,NEAR BAY
-122.23,37.81,52.0,1.0,1.0,612.0,213.0,5963.500000000001,614400.0,NEAR BAY
-122.22,37.81,52.0,1.0,1.0,1021.0,380.0,10195.5,765200.0,NEAR BAY
-122.23,37.81,52.0,1.0,1.0,861.0,258.0,11099.125,805600.0,NEAR BAY
-122.24,37.81,52.0,1.0,1.0,953.0,327.0,8573.875,689800.0,NEAR BAY
-122.24,37.81,52.0,1.0,1.0,634.0,256.0,7537.75,559600.0,NEAR BAY
-122.23,37.81,52.0,1.0,1.0,878.0,352.0,9384.999999999998,682400.0,NEAR BAY
-122.24,37.81,52.0,1.0,1.0,918.0,483.0,3434.625,472600.0,NEAR BAY
-122.24,37.8,52.0,1.0,1.0,360.0,175.0,2743.0,408000.0,NEAR BAY
-122.25,37.8,52.0,1.0,1.0,1197.0,488.0,3768.625,421800.0,NEAR BAY
-122.24,37.81,52.0,1.0,1.0,1048.0,518.0,4593.75,524800.0,NEAR BAY
-122.25,37.81,46.0,1.0,1.0,1373.0,747.0,4031.25,422600.0,NEAR BAY
-122.25,37.8,42.0,1.0,1.0,1715.0,1015.0,3668.125,435000.0,NEAR BAY
-122.25,37.8,43.0,1.0,1.0,1359.0,722.0,2678.625,485000.0,NEAR BAY
-122.25,37.8,41.0,1.0,1.0,1062.0,413.0,2015.125,327800.0,NEAR BAY
-122.25,37.8,29.0,1.0,1.0,1335.0,773.0,1741.125,372600.0,NEAR BAY
-122.24,37.79,27.0,1.0,1.0,1171.0,429.0,2896.625,235000.0,NEAR BAY
-122.25,37.79,45.0,1.0,1.0,1475.0,460.0,2221.5,180000.0,NEAR BAY
-122.25,37.79,50.0,1.0,1.0,742.0,196.0,3307.25,235000.0,NEAR BAY
-122.25,37.79,52.0,1.0,1.0,1086.0,363.0,2726.25,262600.0,NEAR BAY
-122.25,37.8,36.0,1.0,1.0,1645.0,543.0,2787.875,218400.0,NEAR BAY
-122.25,37.8,43.0,1.0,1.0,1710.0,644.0,2063.0,288600.0,NEAR BAY
-122.24,37.8,52.0,1.0,1.0,731.0,228.0,2837.125,239000.0,NEAR BAY
-122.24,37.8,52.0,1.0,1.0,1118.0,347.0,2695.375,242200.0,NEAR BAY
-122.24,37.8,52.0,1.0,1.0,1006.0,335.0,2668.4999999999995,266200.0,NEAR BAY
-122.24,37.8,47.0,1.0,1.0,1213.0,554.0,3286.5,350400.0,NEAR BAY
-122.23,37.8,52.0,1.0,1.0,772.0,257.0,2979.1250000000005,278800.0,NEAR BAY
-122.24,37.8,52.0,1.0,1.0,1321.0,401.0,3696.25,230600.0,NEAR BAY
-122.24,37.8,49.0,1.0,1.0,1487.0,677.0,3154.75,323600.0,NEAR BAY
-122.23,37.8,52.0,1.0,1.0,488.0,186.0,2421.875,238200.0,NEAR BAY
-122.23,37.8,51.0,1.0,1.0,949.0,392.0,2378.5,240800.0,NEAR BAY
-122.23,37.8,50.0,1.0,1.0,1149.0,415.0,2812.5,232000.0,NEAR BAY
-122.23,37.8,52.0,1.0,1.0,844.0,280.0,2991.125,208800.0,NEAR BAY
-122.23,37.79,43.0,1.0,1.0,4367.0,1231.0,2739.625,210600.0,NEAR BAY
-122.23,37.79,52.0,1.0,1.0,1659.0,412.0,3669.6250000000005,200800.0,NEAR BAY
-122.23,37.79,30.0,1.0,1.0,1011.0,263.0,2356.75,260000.0,NEAR BAY
-122.24,37.79,39.0,1.0,1.0,1464.0,389.0,2704.75,196000.0,NEAR BAY
-122.24,37.79,47.0,1.0,1.0,1237.0,303.0,2656.25,176000.0,NEAR BAY
-122.24,37.79,52.0,1.0,1.0,647.0,168.0,4218.75,217200.0,NEAR BAY
-122.24,37.79,43.0,1.0,1.0,1284.0,357.0,2817.75,209400.0,NEAR BAY
-122.25,37.79,51.0,1.0,1.0,228.0,55.0,2625.0,135000.0,NEAR BAY
-122.25,37.79,39.0,1.0,1.0,381.0,123.0,2000.0,210000.0,NEAR BAY
-122.25,37.79,52.0,1.0,1.0,846.0,227.0,4531.25,235000.0,NEAR BAY
-122.26,37.8,20.0,1.0,1.0,1659.0,676.0,2116.125,215000.0,NEAR BAY
-122.22,37.77,52.0,1.0,1.0,520.0,138.0,2058.875,175000.0,NEAR BAY
-122.22,37.77,52.0,1.0,1.0,866.0,259.0,3237.5,177800.0,NEAR BAY
-122.23,37.77,52.0,1.0,1.0,612.0,183.0,3212.5,129000.0,NEAR BAY
-122.23,37.78,52.0,1.0,1.0,415.0,126.0,3303.625,127600.0,NEAR BAY
-122.23,37.78,52.0,1.0,1.0,994.0,213.0,3782.125,146600.0,NEAR BAY
-122.22,37.78,50.0,1.0,1.0,1525.0,477.0,1860.75,242600.0,NEAR BAY
-122.23,37.78,43.0,1.0,1.0,1506.0,438.0,2417.25,210000.0,NEAR BAY
-122.23,37.78,52.0,1.0,1.0,1008.0,255.0,1855.5,223800.0,NEAR BAY
-122.23,37.78,44.0,1.0,1.0,2813.0,751.0,2001.125,221200.0,NEAR BAY
-122.23,37.79,48.0,1.0,1.0,1481.0,343.0,2546.875,230000.0,NEAR BAY
-122.23,37.79,49.0,1.0,1.0,859.0,219.0,2866.25,197600.0,NEAR BAY
-122.22,37.79,37.0,1.0,1.0,1608.0,523.0,2686.75,250000.0,NEAR BAY
-122.23,37.79,30.0,1.0,1.0,425.0,140.0,2024.7499999999998,230400.0,NEAR BAY
-122.23,37.79,40.0,1.0,1.0,564.0,184.0,1660.125,211600.0,NEAR BAY
-122.22,37.79,44.0,1.0,1.0,961.0,272.0,4394.5,204000.0,NEAR BAY
-122.22,37.79,52.0,1.0,1.0,2273.0,685.0,4881.0,314400.0,NEAR BAY
-122.21,37.79,52.0,1.0,1.0,600.0,195.0,3861.625,235000.0,NEAR BAY
-122.22,37.79,46.0,1.0,1.0,1647.0,527.0,3255.25,234400.0,NEAR BAY
-122.22,37.79,49.0,1.0,1.0,1201.0,424.0,3125.0,258400.0,NEAR BAY
-122.22,37.79,38.0,1.0,1.0,2167.0,659.0,3496.125,268400.0,NEAR BAY
-122.2,37.79,29.0,1.0,1.0,939.0,340.0,3540.125,285000.0,NEAR BAY
-122.21,37.79,47.0,1.0,1.0,859.0,292.0,3697.875,262600.0,NEAR BAY
-122.21,37.79,34.0,1.0,1.0,1517.0,516.0,3545.625,263400.0,NEAR BAY
-122.21,37.79,35.0,1.0,1.0,1143.0,386.0,3593.75,272600.0,NEAR BAY
-122.21,37.8,39.0,1.0,1.0,1109.0,464.0,3835.25,298000.0,NEAR BAY
-122.21,37.8,39.0,1.0,1.0,1221.0,446.0,3844.625,287000.0,NEAR BAY
-122.2,37.8,43.0,1.0,1.0,1115.0,455.0,6194.875,531000.0,NEAR BAY
-122.2,37.8,52.0,1.0,1.0,706.0,268.0,5965.125,419200.0,NEAR BAY
-122.21,37.8,52.0,1.0,1.0,1883.0,706.0,4357.625,359200.0,NEAR BAY
-122.2,37.8,41.0,1.0,1.0,804.0,340.0,6398.0,464200.0,NEAR BAY
-122.21,37.8,48.0,1.0,1.0,506.0,252.0,5122.125,444400.0,NEAR BAY
-122.19,37.8,48.0,1.0,1.0,610.0,238.0,5930.0,499600.0,NEAR BAY
-122.19,37.8,46.0,1.0,1.0,768.0,332.0,5340.875000000001,478800.0,NEAR BAY
-122.19,37.79,50.0,1.0,1.0,462.0,184.0,3730.5,344800.0,NEAR BAY
-122.2,37.79,40.0,1.0,1.0,667.0,235.0,5217.375,324200.0,NEAR BAY
-122.2,37.8,46.0,1.0,1.0,1059.0,399.0,4810.875,391600.0,NEAR BAY
-122.19,37.8,52.0,1.0,1.0,637.0,277.0,5014.25,511800.0,NEAR BAY
-122.19,37.79,45.0,1.0,1.0,1106.0,454.0,5820.375,448600.0,NEAR BAY
-122.19,37.79,28.0,1.0,1.0,1737.0,669.0,3662.125,266000.0,NEAR BAY
-122.2,37.79,35.0,1.0,1.0,1009.0,390.0,2879.5,237000.0,NEAR BAY
-122.2,37.79,49.0,1.0,1.0,737.0,210.0,3333.375,229000.0,NEAR BAY
-122.2,37.79,44.0,1.0,1.0,1354.0,491.0,3273.7499999999995,254400.0,NEAR BAY
-122.21,37.79,45.0,1.0,1.0,1530.0,474.0,3020.875,263800.0,NEAR BAY
-122.2,37.79,45.0,1.0,1.0,1410.0,480.0,3473.5,215800.0,NEAR BAY
-122.21,37.78,46.0,1.0,1.0,1390.0,569.0,3419.0,259600.0,NEAR BAY
-122.21,37.78,52.0,1.0,1.0,1065.0,269.0,2309.0,259000.0,NEAR BAY
-122.21,37.78,52.0,1.0,1.0,792.0,245.0,3322.875,270200.0,NEAR BAY
-122.21,37.78,49.0,1.0,1.0,779.0,245.0,3817.0,260000.0,NEAR BAY
-122.22,37.78,44.0,1.0,1.0,2269.0,610.0,2988.25,208400.0,NEAR BAY
-122.21,37.78,43.0,1.0,1.0,1227.0,407.0,2148.5,238600.0,NEAR BAY
-122.21,37.78,47.0,1.0,1.0,753.0,241.0,3281.25,207600.0,NEAR BAY
-122.22,37.77,40.0,1.0,1.0,547.0,135.0,3501.875,214600.0,NEAR BAY
-122.22,37.78,50.0,1.0,1.0,1807.0,440.0,2159.5,189600.0,NEAR BAY
-122.22,37.78,44.0,1.0,1.0,1700.0,495.0,2600.125,248800.0,NEAR BAY
-122.22,37.78,51.0,1.0,1.0,1543.0,393.0,3111.25,223200.0,NEAR BAY
-122.21,37.76,52.0,1.0,1.0,1085.0,300.0,2193.25,146200.0,NEAR BAY
-122.21,37.77,52.0,1.0,1.0,353.0,137.0,5113.0,146200.0,NEAR BAY
-122.21,37.77,52.0,1.0,1.0,473.0,149.0,3345.625,162600.0,NEAR BAY
-122.2,37.77,49.0,1.0,1.0,1621.0,483.0,3042.2500000000005,189800.0,NEAR BAY
-122.21,37.77,46.0,1.0,1.0,1183.0,354.0,2913.6250000000005,182400.0,NEAR BAY
-122.21,37.77,43.0,1.0,1.0,836.0,277.0,2825.5000000000005,185000.0,NEAR BAY
-122.19,37.77,42.0,1.0,1.0,900.0,263.0,2254.875,169600.0,NEAR BAY
-122.2,37.77,39.0,1.0,1.0,1888.0,537.0,2820.2500000000005,174600.0,NEAR BAY
-122.2,37.77,41.0,1.0,1.0,1024.0,341.0,2570.25,189000.0,NEAR BAY
-122.2,37.78,52.0,1.0,1.0,1225.0,423.0,4424.75,301800.0,NEAR BAY
-122.2,37.78,39.0,1.0,1.0,1071.0,376.0,3895.8749999999995,228200.0,NEAR BAY
-122.2,37.78,50.0,1.0,1.0,1128.0,378.0,3175.1249999999995,243200.0,NEAR BAY
-122.2,37.77,43.0,1.0,1.0,1537.0,484.0,3622.5,227800.0,NEAR BAY
-122.21,37.78,44.0,1.0,1.0,1240.0,393.0,2890.625,190600.0,NEAR BAY
-122.19,37.78,52.0,1.0,1.0,469.0,168.0,3593.75,305000.0,NEAR BAY
-122.19,37.77,52.0,1.0,1.0,1086.0,425.0,4214.375,272800.0,NEAR BAY
-122.19,37.77,52.0,1.0,1.0,1144.0,417.0,4389.25,287400.0,NEAR BAY
-122.19,37.78,52.0,1.0,1.0,1109.0,375.0,5390.625,313800.0,NEAR BAY
-122.19,37.78,52.0,1.0,1.0,984.0,369.0,4025.0000000000005,298000.0,NEAR BAY
-122.18,37.78,33.0,1.0,1.0,575.0,47.0,4843.75,435000.0,NEAR BAY
-122.19,37.78,49.0,1.0,1.0,496.0,209.0,6541.0,333400.0,NEAR BAY
-122.19,37.78,52.0,1.0,1.0,555.0,190.0,4657.75,318800.0,NEAR BAY
-122.2,37.78,45.0,1.0,1.0,869.0,327.0,5736.625,312000.0,NEAR BAY
-122.18,37.79,39.0,1.0,1.0,236.0,106.0,6572.249999999999,491000.0,NEAR BAY
-122.18,37.79,41.0,1.0,1.0,626.0,214.0,8859.375,466400.0,NEAR BAY
-122.18,37.79,46.0,1.0,1.0,922.0,329.0,4964.0,401200.0,NEAR BAY
-122.19,37.79,47.0,1.0,1.0,582.0,256.0,3689.25,381200.0,NEAR BAY
-122.19,37.79,50.0,1.0,1.0,546.0,201.0,3333.375,330600.0,NEAR BAY
-122.18,37.81,37.0,1.0,1.0,620.0,266.0,6805.75,658400.0,NEAR BAY
-122.18,37.8,34.0,1.0,1.0,442.0,195.0,7854.75,621400.0,NEAR BAY
-122.18,37.8,23.0,1.0,1.0,955.0,328.0,8440.875,556600.0,NEAR BAY
-122.13,37.77,24.0,1.0,1.0,916.0,324.0,8839.0,571000.0,NEAR BAY
-122.16,37.79,22.0,1.0,1.0,4985.0,1967.0,7481.125,727000.0,NEAR BAY
-122.17,37.78,42.0,1.0,1.0,651.0,267.0,4609.375,299600.0,NEAR BAY
-122.17,37.77,30.0,1.0,1.0,1704.0,703.0,3593.75,255600.0,NEAR BAY
-122.18,37.78,43.0,1.0,1.0,1085.0,407.0,4275.625,258400.0,NEAR BAY
-122.18,37.78,50.0,1.0,1.0,713.0,284.0,4123.0,306400.0,NEAR BAY
-122.17,37.78,49.0,1.0,1.0,468.0,181.0,4843.75,266200.0,NEAR BAY
